epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9935,2.63172,3.09882,1.99972,0.11951,0.21853,0.08442,0.02333,2.58745,6.90826,1.49979,0.00023338,0.00023338,0.00023338
2,36.593,1.45815,1.57617,1.24583,0.20679,0.37322,0.20906,0.0757,1.93639,5.94448,1.34663,0.000473858,0.000473858,0.000473858
3,52.669,1.31072,1.41422,1.17969,0.37019,0.39258,0.34683,0.17898,1.7335,4.16866,1.32526,0.000704434,0.000704434,0.000704434
4,68.0679,1.31118,1.4036,1.17478,0.25751,0.32392,0.20239,0.08672,2.28947,2.83851,1.60771,0.000925108,0.000925108,0.000925108
5,83.2215,1.28051,1.34748,1.14729,0.38117,0.46176,0.37017,0.17682,1.75443,2.89005,1.29129,0.00113588,0.00113588,0.00113588
6,98.0053,1.22798,1.33874,1.11888,0.16631,0.22045,0.11778,0.06004,2.22003,6.6994,1.79937,0.00133675,0.00133675,0.00133675
7,113.215,1.27975,1.36036,1.12521,0.31743,0.39645,0.25959,0.14328,1.78787,2.99128,1.24172,0.00146896,0.00146896,0.00146896
8,128.843,1.2539,1.33536,1.10265,0.22839,0.3772,0.1979,0.0835,1.81945,4.05216,1.34293,0.00143595,0.00143595,0.00143595
9,144.111,1.19817,1.291,1.08257,0.46201,0.47201,0.43693,0.25364,1.49634,2.62159,1.25413,0.00140295,0.00140295,0.00140295
10,159.812,1.20718,1.3116,1.0862,0.43543,0.40032,0.36919,0.20945,1.61156,1.91239,1.30672,0.00136994,0.00136994,0.00136994
11,174.539,1.11835,1.21159,1.04741,0.48361,0.43303,0.41468,0.22499,1.57458,1.97955,1.20052,0.00133693,0.00133693,0.00133693
12,189.907,1.10166,1.17,1.04799,0.51807,0.4612,0.43078,0.22271,1.69349,1.83791,1.19596,0.00130393,0.00130393,0.00130393
13,204.771,1.12842,1.2073,1.04447,0.45075,0.45535,0.41871,0.25341,1.40206,1.85053,1.07909,0.00127092,0.00127092,0.00127092
14,221.141,1.04391,1.13549,1.01887,0.46847,0.42575,0.40538,0.22905,1.53843,1.94676,1.11383,0.00123791,0.00123791,0.00123791
15,235.966,1.042,1.10747,1.01752,0.42964,0.39327,0.36112,0.19528,1.75253,2.0729,1.23951,0.00120491,0.00120491,0.00120491
16,251.206,1.01365,1.05321,1.00759,0.5909,0.56799,0.59204,0.34707,1.42194,1.41276,1.05395,0.0011719,0.0011719,0.0011719
17,266.505,1.00286,1.04787,1.00443,0.51227,0.6322,0.57916,0.35237,1.33148,1.46437,1.02656,0.00113889,0.00113889,0.00113889
18,281.739,0.98201,1.06378,1.00447,0.60787,0.54275,0.60618,0.35212,1.42313,1.37565,1.04589,0.00110589,0.00110589,0.00110589
19,296.309,0.98545,1.03875,0.99316,0.58142,0.62268,0.62996,0.37646,1.30886,1.33006,1.03045,0.00107288,0.00107288,0.00107288
20,312.224,0.97969,1.02393,0.98969,0.55118,0.55267,0.5579,0.3173,1.46692,1.57996,1.11393,0.00103987,0.00103987,0.00103987
21,327.57,0.97256,0.99599,0.989,0.63685,0.54253,0.59728,0.35477,1.38125,1.35386,1.03859,0.00100687,0.00100687,0.00100687
22,342.669,0.92789,0.96415,0.98046,0.59745,0.58344,0.61677,0.37627,1.3117,1.40376,1.02095,0.000973861,0.000973861,0.000973861
23,357.633,0.94023,0.96872,0.97348,0.66154,0.61589,0.66531,0.41592,1.26997,1.19689,0.98918,0.000940855,0.000940855,0.000940855
24,373.189,0.92674,0.97133,0.97817,0.63878,0.63433,0.65405,0.39429,1.33398,1.22233,0.99604,0.000907848,0.000907848,0.000907848
25,389.128,0.90109,0.91813,0.96745,0.66603,0.67203,0.7033,0.45695,1.15767,1.17118,0.95916,0.000874842,0.000874842,0.000874842
26,404.389,0.88223,0.90561,0.96565,0.56377,0.62648,0.58752,0.37106,1.26583,1.265,0.99442,0.000841835,0.000841835,0.000841835
27,420.027,0.86634,0.87983,0.9593,0.66637,0.64628,0.69338,0.44774,1.1884,1.12141,0.97553,0.000808828,0.000808828,0.000808828
28,434.944,0.86897,0.89403,0.96239,0.66994,0.66384,0.71111,0.45461,1.17919,1.10816,0.96443,0.000775822,0.000775822,0.000775822
29,450.112,0.8896,0.88157,0.96425,0.7167,0.63571,0.73185,0.48905,1.11066,1.02626,0.97104,0.000742815,0.000742815,0.000742815
30,466.187,0.85683,0.87955,0.96139,0.69648,0.62824,0.71251,0.47464,1.14368,1.05601,0.932,0.000709809,0.000709809,0.000709809
31,480.929,0.85767,0.87817,0.95592,0.65708,0.6746,0.71087,0.44463,1.22189,1.07964,0.95258,0.000676802,0.000676802,0.000676802
32,495.993,0.82726,0.82715,0.9492,0.72221,0.63714,0.71575,0.46877,1.2129,1.07648,0.93047,0.000643795,0.000643795,0.000643795
33,510.954,0.83553,0.85496,0.94437,0.68365,0.6616,0.71611,0.47622,1.1229,1.04427,0.94058,0.000610789,0.000610789,0.000610789
34,526.725,0.82493,0.80834,0.94562,0.72309,0.66255,0.73539,0.51395,1.03436,0.97351,0.9141,0.000577782,0.000577782,0.000577782
35,542.463,0.77278,0.79474,0.93639,0.72151,0.68395,0.75806,0.46115,1.26367,1.01654,0.93742,0.000544776,0.000544776,0.000544776
36,557.765,0.81127,0.79269,0.93988,0.70062,0.70508,0.75969,0.52399,1.05242,0.95198,0.92154,0.000511769,0.000511769,0.000511769
37,572.928,0.79385,0.75823,0.9299,0.69584,0.67266,0.74034,0.47795,1.17198,1.00601,0.93237,0.000478762,0.000478762,0.000478762
38,587.779,0.77544,0.75223,0.932,0.68972,0.7073,0.73994,0.51018,1.05152,0.99993,0.92551,0.000445756,0.000445756,0.000445756
39,604.05,0.78594,0.78363,0.93637,0.71168,0.67417,0.72916,0.51266,1.04522,0.94803,0.91009,0.000412749,0.000412749,0.000412749
40,619.097,0.75734,0.74231,0.92526,0.70175,0.67847,0.72452,0.49751,1.07549,1.0037,0.91579,0.000379743,0.000379743,0.000379743
41,640.421,0.80876,0.74896,0.92695,0.69527,0.6835,0.72872,0.50672,1.029,1.01066,0.92449,0.000346736,0.000346736,0.000346736
42,655.138,0.76389,0.71446,0.91676,0.69779,0.71765,0.73606,0.51498,1.0482,0.94957,0.9328,0.000313729,0.000313729,0.000313729
43,669.618,0.76317,0.7027,0.90851,0.71795,0.72675,0.75986,0.52867,1.00707,0.93095,0.90059,0.000280723,0.000280723,0.000280723
44,684.322,0.7564,0.69658,0.90684,0.71133,0.76442,0.77322,0.53592,1.0403,0.90044,0.90138,0.000247716,0.000247716,0.000247716
45,700.037,0.74357,0.67878,0.90487,0.73792,0.6855,0.76274,0.5353,1.00732,0.92926,0.90641,0.00021471,0.00021471,0.00021471
46,714.551,0.7244,0.65036,0.90043,0.72856,0.73454,0.76788,0.51697,1.0759,0.92279,0.90786,0.000181703,0.000181703,0.000181703
47,729.22,0.71877,0.6328,0.89516,0.72876,0.72673,0.78494,0.53227,1.08324,0.89245,0.90347,0.000148696,0.000148696,0.000148696
48,743.464,0.69057,0.62263,0.89026,0.73493,0.73777,0.78967,0.56195,0.99418,0.87032,0.89357,0.00011569,0.00011569,0.00011569
49,758.4,0.69427,0.61195,0.88646,0.73811,0.75209,0.79165,0.5501,1.01886,0.88424,0.89245,8.26832e-05,8.26832e-05,8.26832e-05
50,772.755,0.67498,0.5992,0.88159,0.74184,0.74396,0.79663,0.55363,1.02268,0.85856,0.89559,4.96766e-05,4.96766e-05,4.96766e-05
